record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,
"1096455844","568769721","-630043043","2765.67","13.352","178.79999999999995","11","1",
"1096455845","568768322","-630042787","2778.8","13.044","178.79999999999995","11","1",
"1096455846","568766941","-630042703","2791.74","12.755","178.79999999999995","11","1",
"1096455847","568765603","-630042707","2804.19","12.54","178.79999999999995","11","1",
"1096455848","568764291","-630042811","2816.37","12.335","178.79999999999995","11","1",
"1096455849","568762990","-630042930","2828.53","12.139","178.79999999999995","11","1",
"1096455850","568761681","-630043032","2840.76","12.214","178.79999999999995","11","1",
"1096455851","568760353","-630043182","2853.06","12.503","178.79999999999995","11","1",
"1096455852","568758971","-630043296","2865.97","12.792","178.79999999999995","11","1",
"1096455853","568757561","-630043390","2879.15","13.11","178.79999999999995","11","1",
"1096455854","568756100","-630043521","2892.7","13.613","178.60000000000002","11","1",
"1096455855","568754576","-630043694","2907.09","14.052","178.60000000000002","11","1",
"1096455856","568753033","-630043823","2921.43","14.519","178.39999999999998","11","1",
"1096455857","568751436","-630044015","2936.24","14.957","178.20000000000005","11","1",
"1096455858","568749807","-630044308","2951.49","15.116","178.20000000000005","11","1",
"1096455859","568748183","-630044645","2966.66","15.078","178.20000000000005","11","1",
"1096455860","568746533","-630044915","2982.02","14.938","178.0","11","1",
"1096455861","568744980","-630045336","2996.83","13.968","178.0","11","1",
"1096455862","568743483","-630045950","3011.4","13.66","178.0","11","1",
"1096455863","568742034","-630046587","3025.53","13.53","178.0","11","1",
"1096455864","568740611","-630047214","3039.31","13.576","177.79999999999995","11","1",
"1096455865","568739158","-630047872","3053.61","13.847","177.79999999999995","11","1",
"1096455866","568737684","-630048583","3068.05","14.388","177.79999999999995","11","1",
"1096455867","568736197","-630049301","3082.55","14.649","177.60000000000002","11","1",
"1096455868","568734683","-630050100","3097.6","14.78","177.60000000000002","11","1",
"1096455869","568733190","-630050838","3112.34","14.612","177.39999999999998","11","1",
"1096455870","568731725","-630051474","3126.58","14.267","177.39999999999998","11","1",
"1096455871","568730299","-630052153","3140.43","13.931","177.20000000000005","11","1",
"1096455872","568728909","-630052969","3154.43","13.613","177.0","11","1",
