record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.1.target_power[watts],
"1110402929","-138869280","1991917952","1987.53","-0.6000000000000227","10.671","171","113","88","-0.6000000000000227","10.671","0",
"1110402930","-138870432","1991918208","1998.47","-0.8000000000000114","10.889","146","114","88","-0.8000000000000114","10.889","0",
"1110402931","-138871600","1991918464","2009.36","-1.1999999999999886","11.091","165","114","89","-1.1999999999999886","11.091","0",
"1110402932","-138872784","1991918720","2020.57","-1.6000000000000227","11.288","160","114","88","-1.6000000000000227","11.288","0",
"1110402933","-138874000","1991918848","2032.03","-2.0","11.465","146","113","89","-2.0","11.465","0",
"1110402934","-138875216","1991919104","2043.46","-2.3999999999999773","11.628","154","113","90","-2.3999999999999773","11.628","0",
"1110402935","-138876448","1991919488","2055.22","-2.8000000000000114","11.777","140","113","90","-2.8000000000000114","11.777","0",
"1110402936","-138877712","1991919616","2067.1","-3.1999999999999886","11.92","151","112","91","-3.1999999999999886","11.92","0",
"1110402937","-138878976","1991919744","2079.08","-3.6000000000000227","12.062","163","112","90","-3.6000000000000227","12.062","0",
"1110402938","-138880272","1991920128","2091.12","-4.0","12.196","156","111","91","-4.0","12.196","0",
"1110402939","-138881584","1991920384","2103.61","-4.399999999999977","12.324","158","111","91","-4.399999999999977","12.324","0",
"1110402940","-138882864","1991920512","2115.77","-4.800000000000011","12.437","151","111","92","-4.800000000000011","12.437","0",
"1110402941","-138884208","1991920896","2128.32","-5.199999999999989","12.548","160","110","92","-5.199999999999989","12.548","0",
"1110402942","-138885552","1991921024","2141.02","-5.600000000000023","12.651","173","110","91","-5.600000000000023","12.651","0",
"1110402943","-138886864","1991921408","2153.56","-5.800000000000011","12.606","158","110","92","-5.800000000000011","12.606","0",
"1110402944","-138888176","1991921792","2166.02","-5.800000000000011","12.49","144","110","92","-5.800000000000011","12.49","0",
"1110402945","-138889472","1991922048","2178.47","-6.0","12.344","162","110","91","-6.0","12.344","0",
"1110402946","-138890784","1991922304","2190.88","-6.0","12.185","171","109","91","-6.0","12.185","0",
"1110402947","-138892048","1991922688","2202.96","-6.0","12.01","169","109","89","-6.0","12.01","0",
"1110402948","-138893296","1991923072","2214.88","-5.800000000000011","11.816","163","109","90","-5.800000000000011","11.816","0",
"1110402949","-138894496","1991923200","2226.52","-5.800000000000011","11.619","173","109","89","-5.800000000000011","11.619","0",
"1110402950","-138895680","1991923840","2238.13","-5.800000000000011","11.427","172","109","89","-5.800000000000011","11.427","0",
"1110402951","-138896816","1991924224","2249.38","-5.600000000000023","11.244","175","109","88","-5.600000000000023","11.244","0",
"1110402952","-138897904","1991924736","2260.6","-5.600000000000023","11.105","206","108","87","-5.600000000000023","11.105","0",
"1110402953","-138898928","1991925248","2271.56","-5.600000000000023","10.988","202","108","88","-5.600000000000023","10.988","0",
"1110402954","-138899920","1991926016","2282.45","-5.600000000000023","10.865","179","108","87","-5.600000000000023","10.865","0",
"1110402955","-138900848","1991926656","2293.45","-5.399999999999977","10.758","178","107","87","-5.399999999999977","10.758","0",
"1110402956","-138901680","1991927424","2303.97","-5.399999999999977","10.679","179","107","87","-5.399999999999977","10.679","0",
"1110402957","-138902448","1991928320","2314.72","-5.399999999999977","10.597","165","107","86","-5.399999999999977","10.597","0",
