record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1074910491","-259234784","1982517248","2351.32","142","18.399999999999977","14.257","244","90","18.399999999999977","14.257",
"1074910492","-259233392","1982516480","2365.62","142","18.200000000000045","14.344","239","91","18.200000000000045","14.344",
"1074910493","-259232000","1982516864","2380.05","142","17.600000000000023","14.559","249","91","17.600000000000023","14.559",
"1074910494","-259231680","1982518528","2394.73","142","17.200000000000045","14.756","258","91","17.200000000000045","14.756",
"1074910495","-259232384","1982520064","2409.46","142","17.200000000000045","14.678","215","92","17.200000000000045","14.678",
"1074910496","-259232816","1982521600","2424.11","142","17.0","14.637","245","90","17.0","14.637",
"1074910497","-259232848","1982523392","2438.76","142","16.799999999999955","14.675","236","91","16.799999999999955","14.675",
"1074910498","-259231936","1982524672","2453.51","142","16.200000000000045","14.825","208","91","16.200000000000045","14.825",
"1074910499","-259230400","1982525184","2468.45","142","15.799999999999955","15.033","259","91","15.799999999999955","15.033",
"1074910500","-259228816","1982525568","2483.59","142","15.200000000000045","15.232","218","92","15.200000000000045","15.232",
"1074910501","-259227200","1982525184","2498.88","142","14.799999999999955","15.345","217","91","14.799999999999955","15.345",
"1074910502","-259225568","1982525056","2514.27","142","14.399999999999977","15.447","231","92","14.399999999999977","15.447",
"1074910503","-259224304","1982526080","2529.82","142","13.799999999999955","15.658","260","93","13.799999999999955","15.658",
"1074910504","-259224448","1982528000","2545.52","142","13.399999999999977","15.744","255","93","13.399999999999977","15.744",
"1074910505","-259225248","1982529536","2561.32","142","13.0","15.833","269","93","13.0","15.833",
"1074910506","-259225792","1982531200","2577.09","142","13.0","15.69","238","92","13.0","15.69",
"1074910507","-259225008","1982532736","2592.69","142","13.0","15.527","224","93","13.0","15.527",
"1074910508","-259223392","1982532992","2608.21","142","12.600000000000023","15.515","218","92","12.600000000000023","15.515",
"1074910509","-259221760","1982532736","2623.76","142","12.399999999999977","15.572","214","92","12.399999999999977","15.572",
"1074910510","-259220128","1982532864","2639.19","142","12.399999999999977","15.27","232","91","12.399999999999977","15.27",
"1074910511","-259218736","1982533760","2654.3","142","12.799999999999955","14.946","257","89","12.799999999999955","14.946",
"1074910512","-259218352","1982535168","2669.06","142","13.0","14.611","283","89","13.0","14.611",
"1074910513","-259219120","1982536704","2683.49","142","13.399999999999977","14.237","308","89","13.399999999999977","14.237",
"1074910514","-259220128","1982537984","2697.55","142","13.799999999999955","13.875","256","88","13.799999999999955","13.875",
"1074910515","-259220160","1982539392","2711.2","142","14.399999999999977","13.416","275","87","14.399999999999977","13.416",
"1074910516","-259219344","1982540672","2724.36","142","14.799999999999955","12.905","297","85","14.799999999999955","12.905",
"1074910517","-259218048","1982541056","2737.07","142","15.0","12.59","306","85","15.0","12.59",
"1074910518","-259216736","1982540672","2749.61","142","15.0","12.5","269","89","15.0","12.5",
"1074910519","-259215504","1982540160","2762.09","142","14.799999999999955","12.489","252","97","14.799999999999955","12.489",
"1074910520","-259214304","1982539392","2774.59","142","14.600000000000023","12.473","236","98","14.600000000000023","12.473",
"1074910521","-259212976","1982539264","2787.0","142","14.600000000000023","12.349","279","98","14.600000000000023","12.349",
"1074910522","-259211840","1982539904","2799.25","142","15.0","12.1","282","94","15.0","12.1",
"1074910523","-259211296","1982541184","2811.17","142","15.399999999999977","11.753","301","87","15.399999999999977","11.753",
"1074910524","-259211776","1982542336","2822.72","143","15.799999999999955","11.403","329","87","15.799999999999955","11.403",
"1074910525","-259212848","1982543104","2834.06","143","16.0","11.283","311","87","16.0","11.283",
"1074910526","-259213936","1982543616","2845.27","143","16.200000000000045","11.144","292","87","16.200000000000045","11.144",
"1074910527","-259214816","1982544384","2856.32","143","16.399999999999977","10.976","312","95","16.399999999999977","10.976",
"1074910528","-259215200","1982545664","2867.22","143","16.799999999999955","10.78","277","95","16.799999999999955","10.78",
"1074910529","-259214912","1982546688","2877.87","143","17.200000000000045","10.498","277","94","17.200000000000045","10.498",
"1074910530","-259214256","1982547584","2888.24","143","17.600000000000023","10.289","283","93","17.600000000000023","10.289",
"1074910531","-259213392","1982548480","2898.47","143","17.799999999999955","10.165","277","92","17.799999999999955","10.165",
"1074910532","-259212480","1982549120","2908.58","143","18.200000000000045","10.052","281","92","18.200000000000045","10.052",
"1074910533","-259211504","1982549632","2918.6","143","18.399999999999977","10.002","300","91","18.399999999999977","10.002",
"1074910534","-259210480","1982550016","2928.58","144","18.600000000000023","9.954","281","90","18.600000000000023","9.954",
"1074910535","-259209456","1982550144","2938.51","144","18.799999999999955","9.938","342","91","18.799999999999955","9.938",
"1074910536","-259208448","1982550528","2948.32","145","19.0","9.987","370","91","19.0","9.987",
"1074910537","-259207584","1982551296","2958.46","146","19.399999999999977","9.948","362","93","19.399999999999977","9.948",
"1074910538","-259207104","1982552320","2968.35","146","19.799999999999955","9.869","297","93","19.799999999999955","9.869",
"1074910539","-259207104","1982553472","2978.18","146","20.0","9.802","301","92","20.0","9.802",
"1074910540","-259207520","1982554496","2987.95","147","20.200000000000045","9.759","305","92","20.200000000000045","9.759",
"1074910541","-259208336","1982555008","2997.73","148","20.399999999999977","9.823","357","92","20.399999999999977","9.823",
"1074910542","-259209376","1982555264","3007.67","149","20.399999999999977","10.069","380","93","20.399999999999977","10.069",
"1074910543","-259210480","1982554880","3017.9","150","20.200000000000045","10.398","352","94","20.200000000000045","10.398",
"1074910544","-259211568","1982554752","3028.46","151","20.200000000000045","10.699","282","95","20.200000000000045","10.699",
"1074910545","-259212688","1982554368","3039.29","151","20.0","10.951","273","97","20.0","10.951",
"1074910546","-259213840","1982553984","3050.38","151","19.799999999999955","11.227","298","97","19.799999999999955","11.227",
"1074910547","-259215024","1982553856","3061.66","152","19.799999999999955","11.305","248","93","19.799999999999955","11.305",
"1074910548","-259216208","1982554112","3072.95","152","19.799999999999955","11.293","242","93","19.799999999999955","11.293",
"1074910549","-259216976","1982555008","3084.23","152","20.0","11.218","253","93","20.0","11.218",
"1074910550","-259217280","1982556288","3095.35","152","20.200000000000045","11.09","276","93","20.200000000000045","11.09",
"1074910551","-259217328","1982557568","3106.51","152","20.0","11.256","278","92","20.0","11.256",
"1074910552","-259217184","1982558848","3117.9","152","19.799999999999955","11.518","264","92","19.799999999999955","11.518",
