record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1082556618","1071.33","34.60000000000002","138","15","1","27.19","567562231","-628858474","4.507",
"1082556619","1075.92","34.799999999999955","139","15","1","27.19","567561780","-628858191","4.665",
"1082556620","1080.65","34.799999999999955","139","15","1","27.19","567561311","-628857888","4.889",
"1082556621","1085.38","35.200000000000045","141","15","1","26.79","567560852","-628857595","4.796",
"1082556622","1089.86","35.39999999999998","141","15","1","26.79","567560397","-628857351","4.703",
"1082556623","1094.41","35.799999999999955","142","15","1","26.79","567559934","-628857081","4.703",
"1082556624","1099.14","36.0","148","15","1","26.79","567559454","-628856836","4.637",
"1082556625","1103.99","36.60000000000002","148","15","1","26.79","567558979","-628856561","4.637",
"1082556626","1108.37","36.799999999999955","148","15","1","26.79","567558528","-628856297","4.656",
"1082556627","1113.17","37.0","148","15","1","26.79","567558045","-628856033","4.647",
"1082556628","1118.14","37.200000000000045","148","15","1","26.79","567557545","-628855780","4.731",
"1082556629","1122.94","37.39999999999998","149","15","1","25.56","567557068","-628855548","4.693",
"1082556630","1127.41","37.39999999999998","149","15","1","25.56","567556603","-628855321","4.721",
"1082556631","1132.12","37.39999999999998","149","15","1","25.56","567556134","-628855055","4.647",
"1082556632","1136.62","38.0","150","15","1","25.56","567555672","-628854817","4.628",
"1082556633","1141.23","38.0","150","15","1","25.56","567555199","-628854566","4.628",
"1082556634","1146.18","38.0","150","15","1","25.56","567554719","-628854288","4.609",
"1082556635","1150.92","38.39999999999998","150","15","1","25.56","567554252","-628854032","4.703",
"1082556636","1155.35","38.60000000000002","150","15","1","25.56","567553801","-628853764","4.843",
"1082556637","1160.05","39.0","150","15","1","25.56","567553338","-628853492","4.74",
"1082556638","1164.62","39.0","150","15","1","25.56","567552868","-628853251","4.731",
"1082556639","1169.3","39.0","150","15","1","25.56","567552395","-628853000","4.721",
"1082556640","1173.79","39.200000000000045","150","15","1","25.56","567551946","-628852762","4.497",
"1082556641","1178.12","39.200000000000045","150","15","1","25.56","567551512","-628852484","4.479",
"1082556642","1182.45","39.39999999999998","150","15","1","25.56","567551082","-628852174","4.423",
"1082556643","1187.16","39.60000000000002","150","15","1","25.56","567550617","-628851853","4.413",
"1082556644","1192.34","39.799999999999955","150","15","1","25.56","567550112","-628851577","4.46",
"1082556645","1197.01","39.799999999999955","150","15","1","25.56","567549678","-628851280","4.339",
"1082556646","1201.08","40.0","150","15","1","25.56","567549274","-628850997","4.367",
"1082556647","1205.19","40.39999999999998","150","15","1","25.56","567548867","-628850723","4.227",
"1082556648","1209.7","40.60000000000002","150","15","1","25.56","567548418","-628850482","4.32",
"1082556649","1213.94","41.0","150","15","1","25.56","567547986","-628850280","4.292",
"1082556650","1218.18","41.39999999999998","150","15","1","25.56","567547564","-628850040","4.301",
