record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1084816100","1600.45","54.39999999999998","17","1","567532198","-628842407","5.225",
"1084816101","1605.97","54.39999999999998","17","1","567531639","-628842179","5.337",
"1084816102","1611.52","54.39999999999998","17","1","567531073","-628841939","5.468",
"1084816103","1616.88","54.60000000000002","17","1","567530495","-628841766","5.589",
"1084816104","1622.32","54.60000000000002","17","1","567529928","-628841559","5.57",
"1084816105","1627.92","54.60000000000002","17","1","567529348","-628841316","5.654",
"1084816106","1633.55","54.60000000000002","17","1","567528768","-628841065","5.645",
"1084816107","1639.2","54.60000000000002","17","1","567528196","-628840796","5.608",
"1084816108","1644.46","54.799999999999955","17","1","567527642","-628840512","5.57",
"1084816109","1650.0","54.799999999999955","17","1","567527101","-628840234","5.085",
"1084816110","1654.56","54.799999999999955","17","1","567526631","-628840060","4.581",
"1084816111","1659.06","54.799999999999955","17","1","567526162","-628839942","4.348",
"1084816112","1663.05","54.799999999999955","17","1","567525732","-628839884","4.096",
"1084816113","1666.82","54.799999999999955","17","1","567525311","-628839900","3.938",
"1084816114","1670.93","54.799999999999955","17","1","567524865","-628839853","4.05",
"1084816115","1674.96","54.799999999999955","17","1","567524428","-628839771","3.975",
"1084816116","1679.33","54.799999999999955","17","1","567523974","-628839694","3.994",
"1084816117","1683.14","54.799999999999955","17","1","567523556","-628839670","3.872",
"1084816118","1687.22","54.799999999999955","17","1","567523128","-628839581","3.77",
"1084816119","1691.07","54.799999999999955","17","1","567522726","-628839500","3.63",
"1084816120","1694.35","54.799999999999955","17","1","567522359","-628839556","3.387",
"1084816121","1697.64","55.0","17","1","567522029","-628839734","2.921",
"1084816122","1700.48","55.200000000000045","17","1","567521758","-628839902","2.463",
"1084816123","1703.53","55.200000000000045","17","1","567521423","-628839903","2.967",
"1084816124","1706.81","55.39999999999998","17","1","567521130","-628839609","3.275",
"1084816125","1708.87","55.39999999999998","17","1","567520956","-628839370","2.389",
"1084816126","1711.49","55.60000000000002","17","1","567520763","-628839102","2.211",
"1084816127","1714.43","55.60000000000002","17","1","567520555","-628838770","2.79",
"1084816128","1714.43","55.60000000000002","17","1","567520282","-628838396","2.79",
"1084816129","1722.09","55.60000000000002","17","1","567519967","-628837932","4.096",
"1084816130","1726.54","55.60000000000002","17","1","567519603","-628837481","4.871",
"1084816131","1730.18","55.39999999999998","17","1","567519265","-628837077","4.861",
"1084816132","1734.68","55.39999999999998","17","1","567518916","-628836565","4.488",
"1084816133","1738.55","55.39999999999998","17","1","567518626","-628836174","3.284",
"1084816134","1741.83","55.39999999999998","17","1","567518383","-628835790","3.023",
"1084816135","1745.13","55.200000000000045","17","1","567518149","-628835447","2.799",
"1084816136","1746.98","55.39999999999998","17","1","567518022","-628835217","2.006",
"1084816137","1749.64","55.39999999999998","17","1","567517870","-628834870","2.501",
"1084816138","1753.17","55.39999999999998","17","1","567517651","-628834422","3.564",
"1084816139","1757.28","55.39999999999998","17","1","567517403","-628833902","4.124",
"1084816140","1761.76","55.200000000000045","17","1","567517099","-628833344","4.731",
"1084816141","1767.17","55.200000000000045","17","1","567516777","-628832629","5.654",
"1084816142","1773.15","55.200000000000045","17","1","567516470","-628831780","6.149",
"1084816143","1779.31","55.200000000000045","17","1","567516149","-628830909","6.382",
"1084816144","1786.16","55.0","17","1","567515645","-628830134","6.513",
